strategy,avg_12m_return,avg_drawdown,p10_drawdown,n
followed_HFFI_recommendation,0.9090653982317318,-0.036517141219003735,-0.10087845880776702,3120
ignored_random_alternative,-0.16495074942832094,-0.16022883495772722,-0.31192665855845014,3120
