train_start,train_end,test_start,test_end,n_train,n_test,auc,accuracy
2012-01-01,2017-01-01,2017-01-01,2018-01-01,7200,1440,0.5073,0.4722
2013-01-01,2018-01-01,2018-01-01,2019-01-01,7200,1440,0.5275,0.5167
2014-01-01,2019-01-01,2019-01-01,2020-01-01,7200,1440,0.6152,0.5632
2015-01-01,2020-01-01,2020-01-01,2021-01-01,7200,1440,0.6005,0.5056
2016-01-01,2021-01-01,2021-01-01,2022-01-01,7200,1440,0.5167,0.4521
